id,title,url_item,url_image,price,category
1,ASOS DESIGN knitted jogger in beige,https://www.asos.com/asos-design/asos-design-knitted-jogger-in-beige/prd/20624411?colourwayid=60073189&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,28.00,sale
2,COLLUSION textured crop sweatshirt in pale green co ord,https://www.asos.com/collusion/collusion-textured-crop-sweatshirt-in-pale-green-co-ord/prd/21119318?colourwayid=60141787&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,18.00,sale
3,Nike swoosh crop hoodie in pink,https://www.asos.com/nike/nike-swoosh-crop-hoodie-in-pink/grp/30154?colourwayid=16651649#14882193&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,59.95,sale
4,River Island clean faux leather jogger trouser in black,https://www.asos.com/river-island/river-island-clean-faux-leather-jogger-trouser-in-black/prd/21760913?colourwayid=60221652&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,40.00,sale
5,Bershka chelsea boot in black,https://www.asos.com/bershka/bershka-chelsea-boot-in-black/prd/21549072?colourwayid=60175483&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,29.99,sale
6,ASOS DESIGN Abigail lace up studded boots in black,https://www.asos.com/asos-design/asos-design-abigail-lace-up-studded-boots-in-black/prd/14828324?colourwayid=16647291&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,40.00,sale
7,RAID Emma ballerina flats in black,https://www.asos.com/raid/raid-emma-ballerina-flats-in-black/prd/20224132?colourwayid=60018886&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,12.99,sale
8,schuh Amara platform heeled ankle boot in black patent,https://www.asos.com/schuh/schuh-amara-platform-heeled-ankle-boot-in-black-patent/prd/21643815?colourwayid=60183919&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,40.00,sale
9,ASOS DESIGN mix & match waffle henley long sleeve pyjama top in off white,https://www.asos.com/asos-design/asos-design-mix-match-waffle-henley-long-sleeve-pyjama-top-in-off-white/grp/32999?colourwayid=60138731#21079747&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,14.00,sale
10,ASOS DESIGN mix & match waffle knot front short sleeve pyjama top in off white,https://www.asos.com/asos-design/asos-design-mix-match-waffle-knot-front-short-sleeve-pyjama-top-in-off-white/grp/32999?colourwayid=60138872#21082343&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,14.00,sale
11,Gilly Hicks core lace halter bralet,https://www.asos.com/gilly-hicks/gilly-hicks-core-lace-halter-bralet/prd/10470260?colourwayid=15120665&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,14.00,sale
12,Nike Training Icon Clash Indy shimmer bra in silver metallic,https://www.asos.com/nike-training/nike-training-icon-clash-indy-shimmer-bra-in-silver-metallic/prd/20572546?colourwayid=60065258&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,34.95,sale
13,Nike swoosh boyfriend multi logo t-shirt in black,https://www.asos.com/nike/nike-swoosh-boyfriend-multi-logo-t-shirt-in-black/prd/14881801?colourwayid=16651564&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,26.95,sale
14,ASOS DESIGN oversized t-shirt with Nirvana print,https://www.asos.com/asos-design/asos-design-oversized-t-shirt-with-nirvana-print/prd/20555510?colourwayid=60063936&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,22.00,sale
15,Pull&Bear padded shoulder vest in khaki,https://www.asos.com/pullbear/pullbear-padded-shoulder-vest-in-khaki/prd/21322527?colourwayid=60157306&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,15.99,sale
16,Wednesday's Girl long sleeve wrap blouse in floral print,https://www.asos.com/wednesdays-girl/wednesdays-girl-long-sleeve-wrap-blouse-in-floral-print/prd/21130179?colourwayid=60142669&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,16.00,sale
17,Criminal Damage co-ord in charcoal,https://www.asos.com/criminal-damage/criminal-damage-co-ord-in-charcoal/grp/33480?colourwayid=60377150&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,105.00,sale
18,The Couture Club tracksuit co-ord in beige,https://www.asos.com/the-couture-club/the-couture-club-tracksuit-co-ord-in-beige/grp/33477?SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,100.00,sale
19,Criminal Damage co-ord oversized joggers in charcoal,https://www.asos.com/criminal-damage/criminal-damage-co-ord-oversized-joggers-in-charcoal/grp/33480?colourwayid=60377173#22150026&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,50.00,sale
20,The Couture Club triple logo high waisted co-ord leggings,https://www.asos.com/the-couture-club/the-couture-club-triple-logo-high-waisted-co-ord-leggings/grp/33479?colourwayid=60346062#22052976&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,25.00,sale
21,Reiss aubrey crossbody bag in navy croc,https://www.asos.com/reiss/reiss-aubrey-crossbody-bag-in-navy-croc/prd/22852361?colourwayid=60431231&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,195.00,sale
22,Tommy Hilfiger 1405/S classic print sunglasses,https://www.asos.com/tommy-hilfiger/tommy-hilfiger-1405-s-classic-print-sunglasses/prd/22781157?colourwayid=60425525&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,130.00,sale
23,Kate Spade augusta animal print sunglasses,https://www.asos.com/kate-spade/kate-spade-augusta-animal-print-sunglasses/prd/22780929?colourwayid=60425462&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,125.00,sale
24,Hugo by Hugo Boss 1068/S logo sunglasses,https://www.asos.com/hugo/hugo-by-hugo-boss-1068-s-logo-sunglasses/prd/22780883?colourwayid=60425444&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,85.00,sale
25,Stradivarius high neck top with lettuce edge in beige,https://www.asos.com/stradivarius/stradivarius-high-neck-top-with-lettuce-edge-in-beige/prd/22128706?colourwayid=60375555&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,9.99,sale
26,Missguided oversized shirt in gingham check,https://www.asos.com/missguided/missguided-oversized-shirt-in-gingham-check/prd/21610222?colourwayid=60180729&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,25.00,sale
27,Nike tank top in black,https://www.asos.com/nike/nike-tank-top-in-black/prd/21108830?colourwayid=60141072&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,16.95,sale
28,ASOS DESIGN Tall long sleeve slim fit crop top with notch neck in black,https://www.asos.com/asos-tall/asos-design-tall-long-sleeve-slim-fit-crop-top-with-notch-neck-in-black/prd/21830907?colourwayid=60302792&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,12.00,sale
29,Stradivarius Petite super high waist skinny jean in black wash,https://www.asos.com/stradivarius/stradivarius-petite-super-high-waist-skinny-jean-in-black-wash/prd/20068464?colourwayid=60005961&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,19.99,sale
30,ASOS DESIGN Hourglass basic legging short in lilac,https://www.asos.com/asos-design/asos-design-hourglass-basic-legging-short-in-lilac/prd/21167092?colourwayid=60145111&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,6.00,sale
31,ASYOU ruched legging in black,https://www.asos.com/asyou/asyou-ruched-legging-in-black/prd/22727655?colourwayid=60420130&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,15.00,sale
